Dispute ID,Sender,Message,Lable,Intervention Type A1,Intervention Type B1,Evaluation of Intervention Type,Intervention message A2,Intervention message B2,Evaluation of Intervention message (Which one did a better job on writing message based on intervention type?), Comments,Understanding and contextualization,Neutrality and impartiality,Empathy,Resolution (Bridging?),Note,,,,,,,,,
,,,,,,"Overall rating, do you think the interventional type chosen by A is better or the one chosen by B is better? ",,,"Overall rating, do you think the interventional message written by A is better or the one written by B is better? (maybe add an overall evaluation for the message (1-5))","Please tell us something you notice, why you pick one over the other.",does the message proprely understand the dispute? does it miss anything important?,"which of the messages matain better neutrality, and not biased toward each parties?","Which of the messages offer better emotional comfort, and write message withe empathy,",Does the message contribute buliding a bridge among two parties? Did the mediation message help the dispute move toward resolution?,Please write down what you think during the process.,,,,,,,,,
1,A,"Hi, I received the package I ordered from your store, but the item is damaged. I'd like to request a refund or a replacement.",Emotional,"1, 3, 11","3, 7, 11",4 - B is slightly better than A,"A, could you provides pictures of your damaged item and of the box it was shipped in? B, could you provide proof that the item was not damaged when leaving your facilities? May I suggest we try to find a solution that will satisfy both parties? For exemple, would it be possible to contact the courier service? A, I understand your frustration and your need to obtain a refund or a replacement for your item that was damaged. B, I understand its your policy that you cannot issue refunds for an item that was damaged during shipping.","I understand both sides: one party has received a damaged item, yet the other party has policies in place regarding shipping. Instead of pointing fingers or taking extremes, let's focus on finding a resolution. Could there be a compromise, such as an investigation with the courier, or possibly exploring other shipment methods for future transactions?",5 - B is significantly better than A,"B2 is smoother than A2. Its easier to read. There are less question marks, it feels more empathetic and less agressive and like its checking out boxes.",3 - A and B are about the same,3 - A and B are about the same,5 - B is significantly better than A,3 - A and B are about the same,I think B was written my llmediator and A was written by a human with no experience in mediation. They both understood the task but B is better written than A.,,,,,,,,,
,B,"We're sorry to hear that. However, our policy states that damage incurred during shipping is the responsibility of the courier service, not ours.",,,,,,,,,,,,,,,,,,,,,,
,A,"But as a customer, my transaction is with your store, not the courier. It's so ironic that you have this kind of service attitude, it's unacceptable. I am not only going to file a complaint with the Consumer Protection Service, but I am also going to write a bad review so that everyone will know what kind of business you are!",,,,,,,,,,,,,,,,,,,,,,
,B,"That's unfortunate. We understand your frustration, but we can only offer a discount on your next purchase. We can't control what happens during shipping. ",,,,,,,,,,,,,,,,,,,,,,
2,A,I've noticed you've been posting our private conversations on your social media without my consent. I'm not comfortable with this and would like you to take them down.,Emotional,"2, 3, 6","2, 4, 10",5 - B is significantly better than A,"Let's all remain calm and respectful. A, it's clear that you value your privacy highly. B, it seems that you did not anticipate this would be an issue. From now on, could we agree on boundaries regarding sharing personal conversations on public platforms, especially without the other's permission?","Hello everyone, I understand there's tension regarding the privacy of conversations shared on social media. A feels their privacy has been violated, while B sees this as typical social media behavior. It's crucial for B to comprehend the impact of his/her actions and respond more compassionately instead of dismissing the concerns. Focusing on the future would help both A and B. Establishing clear guidelines or boundaries for what is acceptable to share online could prevent such issues and ensure respect for each other's privacy.",2 - A is slightly better than B,A message is smoother but very short. B is not so bad either but it seems to take the side of A. but B is clearer in terms of proposed solutions. Both messages have flaws.,3 - A and B are about the same,1 - A is significantly better than B,3 - A and B are about the same,4 - B is slightly better than A,"I cant say which one is written by a human and which one is written by llmediator. Both messages have flaws so its not easy to tell which one is better. A is too short to bring up everything, so I feel like its missing things. B is longer and more complete but it lacks neutrality.",,,,,,,,,
,B,"Don't be so serious yo. It's just for fun, and I didn't think it would be a big deal. Everyone posts stuff like this. Plus, I didn't mention your name directly.",,,,,,,,,,,,,,,,,,,,,,
,A,"Regardless of your intentions, it's a violation of my privacy. I expect a basic level of respect and confidentiality in our conversations.",,,,,,,,,,,,,,,,,,,,,,
,B,"Weirdo. You think everyone is as concerned about other people's lives as you are on a daily basis? It's my account, I can post whatever I want.",,,,,,,,,,,,,,,,,,,,,,
3,A,Yo! Your tree's roots are damaging my property's foundation. I’ve noticed cracks in my driveway and walls. We need to find a solution.,Complex,"2, 4","1, 5, 7",5 - B is significantly better than A,"I understand that both of you are concerned. Party A, it's clear that you're worried about your property damage and you seek a solution based on your uncle's advice. Party B, you value the tree and you'd like more concrete evidence about the roots being the cause before deciding on a course of action. What if we consider getting a professional arborist's opinion to find the root cause of the damage? This way, we can get an unbiased viewpoint and then work towards a suitable solution.","Hello both, it's clear B has tried to understand A's concerns. However, A should also make an effort to understand B's point of view, especially regarding the reasons for not cutting the tree without being certain. B should control their emotions and use more polite words to keep the conversation rational and productive.",1 - A is significantly better than B,A has better empathy and neutrality than B. B is bashing on party B for no reasons.,1 - A is significantly better than B,1 - A is significantly better than B,1 - A is significantly better than B,1 - A is significantly better than B,"A seems to have a good understanding of the situation, remains neutral and empathetic towards both partys and offer concrete resolution proposals. It is significantly better than B who fails at all theses tasks.",,,,,,,,,
