ID,Lable,Sender,Messages,Intervention_type,Intervention_message,Time spent (type),time spent (Message)  ,,,,,,,,,,,,,,,,,,
1,Emotional,A,"Hi, I received the package I ordered from your store, but the item is damaged. I'd like to request a refund or a replacement.","3, 7, 11","I understand both sides: one party has received a damaged item, yet the other party has policies in place regarding shipping. Instead of pointing fingers or taking extremes, let's focus on finding a resolution. Could there be a compromise, such as an investigation with the courier, or possibly exploring other shipment methods for future transactions?",,,,,,,,,,,,,,,,,,,,
,,B,"We're sorry to hear that. However, our policy states that damage incurred during shipping is the responsibility of the courier service, not ours.",,,,,,,,,,,,,,,,,,,,,,
,,A,"But as a customer, my transaction is with your store, not the courier. It's so ironic that you have this kind of service attitude, it's unacceptable. I am not only going to file a complaint with the Consumer Protection Service, but I am also going to write a bad review so that everyone will know what kind of business you are!",,,,,,,,,,,,,,,,,,,,,,
,,B,"That's unfortunate. We understand your frustration, but we can only offer a discount on your next purchase. We can't control what happens during shipping. ",,,,,,,,,,,,,,,,,,,,,,
2,Emotional,A,I've noticed you've been posting our private conversations on your social media without my consent. I'm not comfortable with this and would like you to take them down.,"2, 3, 6","Let's all remain calm and respectful. A, it's clear that you value your privacy highly. B, it seems that you did not anticipate this would be an issue. From now on, could we agree on boundaries regarding sharing personal conversations on public platforms, especially without the other's permission?",,,,,,,,,,,,,,,,,,,,
,,B,"Don't be so serious yo. It's just for fun, and I didn't think it would be a big deal. Everyone posts stuff like this. Plus, I didn't mention your name directly.",,,,,,,,,,,,,,,,,,,,,,
,,A,"Regardless of your intentions, it's a violation of my privacy. I expect a basic level of respect and confidentiality in our conversations.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Weirdo. You think everyone is as concerned about other people's lives as you are on a daily basis? It's my account, I can post whatever I want.",,,,,,,,,,,,,,,,,,,,,,
3,Complex,A,Yo! Your tree's roots are damaging my property's foundation. I’ve noticed cracks in my driveway and walls. We need to find a solution.,"1, 5, 7","I understand that both of you are concerned. Party A, it's clear that you're worried about your property damage and you seek a solution based on your uncle's advice. Party B, you value the tree and you'd like more concrete evidence about the roots being the cause before deciding on a course of action. What if we consider getting a professional arborist's opinion to find the root cause of the damage? This way, we can get an unbiased viewpoint and then work towards a suitable solution.",,,,,,,,,,,,,,,,,,,,
,,B,"That tree is some distance from your driveway, and I'm not so sure the roots can affect the road that far. And that tree has been there for decades, almost a landmark. I'm very attached to it. Are you sure the roots caused the damage?",,,,,,,,,,,,,,,,,,,,,,
,,A,"Don't make excuses that are irrelevant. My uncle knows a lot about trees, he used to build his own homes and he understands what it looks like when tree roots destroy pavement. My uncle never lied, and I believe what he said. He told me our pavement was caused by your tree roots. We need to fix this immediately.",,,,,,,,,,,,,,,,,,,,,,
,,B,"I understand your concern, but I can't just cut down the tree. Let's find a solution that doesn't require complete removal. I have a lot of respect for your uncle, but I don't think that an untrained professional has enough experience to determine the location of the roots, maybe this is caused by the roots of another tree, maybe there is a better way to manage the roots. I'm sorry for the damage to your property and we can't discuss a solution until the responsibility has been clarified.",,,,,,,,,,,,,,,,,,,,,,
4,Complex,A,"Hello, how are you? Could you return the money I lent you before? It's the 1,000 CAD I lent you two years ago.","1, 2, 5","It seems both parties have benefited from each other in different ways. However, these gestures might not be equivalent in monetary value. To address this, let's consider evaluating the expenses and goods exchanged, assigning them monetary values where possible. This method could provide clarity and illuminate a path towards repayment. Additionally, communicating more compassionately can help both parties express and manage feelings constructively.",,,,,,,,,,,,,,,,,,,,
,,B,"What? I don't know what you're talking about. We cleared it up a long time ago. I gave you back 400 over a year ago, and I lent you my limited edition sneakers to wear, not to mention that you met with Jack with me before, and it was my treat. You got so many favors and you still come to me for money?",,,,,,,,,,,,,,,,,,,,,,
,,A,"We can't settle accounts like this. You lent me sneakers before, and I've lent you my hat too. Besides, you owe me a total of 1000 CAD; we can't just write it off like that. I'm really tight on money lately, and I'm almost unable to pay my rent. If you don't pay me back, I'll be evicted by the landlord.",,,,,,,,,,,,,,,,,,,,,,
,,B,"Your hat? Who cares about your hat? Are you clear about the value of the sneakers I lent you before? For 1,000 bucks and you're still coming to me? I don't want to talk to you anymore, you're an ungrateful man.",,,,,,,,,,,,,,,,,,,,,,
5,Confusion,A,"I've noticed that the shared areas of our apartment, especially the kitchen, are often left messy. We had agreed to keep these spaces clean for everyone's benefit.","2, 5, 9","I can see that this conversation revolves around cleanliness in shared spaces, particularly the kitchen. It appears there's a misunderstanding about who is responsible for what. Perhaps it would be beneficial to revisit the cleaning schedule to ensure everyone understands their responsibilities. Could there be a more creative and flexible way of managing this issue? For instance, could we use a visible system to keep track of whose turn it is to clean? Or maybe consider rotating the cleaning duties more frequently to accommodate busier schedules?",,,,,,,,,,,,,,,,,,,,
,,B,I've been really busy lately and haven't had much time to clean up after myself. I didn't think a few dishes in the sink would be a big deal.,,,,,,,,,,,,,,,,,,,,,,
,,A,It's not just about a few dishes; it's the cumulative effect of not cleaning up. It makes the space unpleasant for everyone else. We need to stick to the cleaning schedule we agreed upon.,,,,,,,,,,,,,,,,,,,,,,
